2021-12-10 16:35:30,868 DEBUG    decorators decorators.py The send_data function was called with parameters (<socket.socket fd=5, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 57198), raddr=('127.0.0.1', 7777)>, {'action': 'presence', 'time': 1639139730.8646576, 'user': {'account_name': 'Guest'}}), {}. Call from module common.utils.Call from function start_client().Call from function start_client
2021-12-10 16:35:30,868 DEBUG    decorators decorators.py The processing_clients_messages function was called with parameters ({'action': 'presence', 'time': 1639139730.8125417, 'user': {'account_name': 'Guest'}}, [], <socket.socket fd=12, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 57196)>), {}. Call from module __main__.Call from function start_server().Call from function start_server
2021-12-10 16:35:31,372 DEBUG    decorators decorators.py The get_data function was called with parameters (<socket.socket fd=13, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 57198)>,), {}. Call from module common.utils.Call from function start_server().Call from function start_server
2021-12-10 16:35:31,375 DEBUG    decorators decorators.py The processing_clients_messages function was called with parameters ({'action': 'presence', 'time': 1639139730.8646576, 'user': {'account_name': 'Guest'}}, [], <socket.socket fd=13, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 57198)>), {}. Call from module __main__.Call from function start_server().Call from function start_server
2021-12-10 16:35:36,864 ERROR    client client.py Failed to decode json.
2021-12-10 16:35:36,864 ERROR    client client.py Failed to decode json.
2021-12-10 16:35:36,864 ERROR    client client.py Failed to decode json.
2021-12-10 16:35:36,864 ERROR    client client.py Failed to decode json.
2021-12-10 16:35:36,864 ERROR    client client.py Failed to decode json.
2021-12-10 16:39:29,143 DEBUG    decorators decorators.py The arg_parser function was called with parameters (), {}. Call from module __main__.Call from function start_server().Call from function start_server
2021-12-10 16:39:29,356 DEBUG    decorators decorators.py The arg_parser function was called with parameters (), {}. Call from module __main__.Call from function start_client().Call from function start_client
2021-12-10 16:39:29,356 INFO     client client.py Launched client with parameters: address: 127.0.0.1 , port: 7777
2021-12-10 16:39:29,358 DEBUG    client client.py Generated presence a message for the user Guest
2021-12-10 16:39:29,359 DEBUG    decorators decorators.py The create_presence_users function was called with parameters (), {}. Call from module __main__.Call from function start_client().Call from function start_client
